,count
360610118006,7254
360610118007,8320
360610118008,7808
360610119001,72230
360610119002,79763
360610120001,14760
360610120002,28960
360610120003,22560
360610120004,45664
360610121001,32240
360610121002,12648
360610121003,9570
360610121004,24490
360610121005,14624
360610121006,11488
360610122001,22950
360610122002,22847
360610122003,17763
360610122004,14336
360610124001,11968
360610124002,17376
360610124003,14477
360610124004,11997
360610124005,11136
360610124006,16288
360610124007,10496
360610124008,6630
360610125001,116226
360610125002,62688
360610126001,35392
360610126002,11910
360610126003,7843
360610126004,7161
360610126005,9280
360610126006,8800
360610126007,6820
360610126008,5152
360610127001,12960
360610127002,25017
360610127003,14624
360610127004,13408
360610127005,15934
360610128001,28992
360610128002,17280
360610128003,22112
360610128004,31410
360610128005,19456
360610129001,47008
360610129002,56925
360610130001,28800
360610130002,27136
360610130003,19080
360610130004,19809
360610131001,107424
360610131002,68310
360610132001,10664
360610132002,9269
360610132003,7874
360610132004,17120
360610132005,5208
360610132006,6200
360610132007,4433
360610133001,8711
360610133002,19200
360610133003,18400
360610133004,15392
360610133005,20955
360610134001,9486
360610134002,8773
360610134003,9251
360610134004,8160
360610134005,9696
360610134006,22400
360610134007,10496
360610134008,10850
360610134009,7890
360610135001,38720
360610135002,30558
360610136001,14415
360610136002,7130
360610136003,7223
360610136004,20384
360610136005,10432
360610136006,5146
360610136007,5920
360610136008,16672
360610137001,14816
360610137002,21452
360610137003,63150
360610137004,39804
360610137005,46688
360610137006,47808
360610138001,9440
360610138002,11040
360610138003,7316
360610138004,15035
360610138005,9312
360610138006,5239
360610138007,6880
360610138008,12000
360610138009,13113
360610139001,14010
360610139002,10106
360610139003,15283
360610139004,7285
360610139005,8220
360610139006,14220
360610139007,20704
360610140001,15675
360610140002,26816
360610140003,17504
360610140004,16020
360610140005,19520
360610140006,11712
360610142001,12630
360610142002,22176
360610142003,17856
360610142004,22909
360610142005,10496
360610142006,13408
360610143001,175604
360610144011,5600
360610144012,8672
360610144013,6048
360610144014,5504
360610144021,11456
360610144022,5983
360610144023,2368
360610144024,13696
360610144025,6975
360610145001,18816
360610145002,10710
360610145003,64992
360610145004,51552
360610146011,18321
360610146012,7626
360610146013,10881
360610146014,6567
